,Budget,Cost,POD,Days Open
0,1000000,10000,0,1.6400462962962976
1,1000000,10000,1,0.0
2,1000000,10000,2,0.0
3,1000000,10000,3,3.5084876543209877
4,1000000,10000,4,0.0
5,1000000,10000,5,0.0
6,1000000,10000,6,0.0
7,1000000,10000,7,0.0
8,1000000,10000,8,0.0
9,1000000,10000,9,0.0
10,1000000,10000,10,0.0
11,1000000,10000,11,0.9517195767195767
12,1000000,10000,12,0.0
13,1000000,10000,13,4.966435185185185
14,1000000,10000,14,11.261158594491928
15,1000000,10000,15,4.62989417989418
16,1000000,10000,16,2.435074955908289
17,1000000,10000,17,3.185550682261209
18,1000000,10000,18,5.56423611111111
19,1000000,10000,19,8.637409979423868
20,1000000,10000,20,9.592592592592599
21,1000000,10000,21,23.56056466302368
22,1000000,10000,22,4.647025813692481
23,1000000,10000,23,7.711226851851849
24,1000000,10000,24,0.0
25,1000000,10000,25,0.0
26,1000000,10000,26,15.303118908382068
27,1000000,10000,27,0.0
28,1000000,10000,28,0.0
29,1000000,10000,29,0.0
30,1000000,10000,30,0.3466435185185185
31,1000000,10000,31,3.0547839506172845
32,1000000,10000,32,0.7123015873015873
33,1000000,10000,33,4.042695473251029
34,1000000,10000,34,0.0
35,1000000,10000,35,0.0
36,1000000,10000,36,0.0
37,1000000,10000,37,0.0
38,1000000,10000,38,3.0119598765432096
39,1000000,10000,39,5.615277777777777
40,1000000,10000,40,0.0
41,1000000,10000,41,17.26317663817663
42,1000000,10000,42,0.0
43,1000000,10000,43,4.473875661375661
44,1000000,10000,44,0.0
45,1000000,10000,45,0.0
46,1000000,10000,46,0.0
47,1500000,10000,0,29.949074074074073
48,1500000,10000,1,29.929166666666667
49,1500000,10000,2,25.818121693121693
50,1500000,10000,3,5.224316578483245
51,1500000,10000,4,6.129409171075838
52,1500000,10000,5,13.553819444444445
53,1500000,10000,6,22.66358024691358
54,1500000,10000,7,15.739351851851852
55,1500000,10000,8,4.067418981481482
56,1500000,10000,9,29.76736111111111
57,1500000,10000,10,9.92526455026455
58,1500000,10000,11,2.878174603174603
59,1500000,10000,12,4.666534391534391
60,1500000,10000,13,2.0497685185185186
61,1500000,10000,14,7.6582383665717
62,1500000,10000,15,3.566666666666667
63,1500000,10000,16,1.7029320987654324
64,1500000,10000,17,3.4982943469785575
65,1500000,10000,18,3.9559220679012346
66,1500000,10000,19,0.6859567901234568
67,1500000,10000,20,1.416435185185185
68,1500000,10000,21,2.487173649058895
69,1500000,10000,22,1.6259820426487093
70,1500000,10000,23,3.427166005291005
71,1500000,10000,24,14.404761904761905
72,1500000,10000,25,10.712962962962964
73,1500000,10000,26,5.1076998050682265
74,1500000,10000,27,16.261243386243386
75,1500000,10000,28,7.587962962962963
76,1500000,10000,29,15.915123456790123
77,1500000,10000,30,1.2074652777777777
78,1500000,10000,31,1.8020833333333333
79,1500000,10000,32,2.0952380952380953
80,1500000,10000,33,3.8996913580246915
81,1500000,10000,34,4.445987654320987
82,1500000,10000,35,11.777777777777779
83,1500000,10000,36,2.5108024691358026
84,1500000,10000,37,9.331018518518517
85,1500000,10000,38,2.4104938271604937
86,1500000,10000,39,7.674305555555556
87,1500000,10000,40,9.723958333333334
88,1500000,10000,41,3.71011396011396
89,1500000,10000,42,1.5026234567901235
90,1500000,10000,43,4.133597883597884
91,1500000,10000,44,10.960648148148147
92,1500000,10000,45,2.9152421652421654
93,1500000,10000,46,16.369907407407407
