,Budget,Cost,TotalTravel(mi)
0,15000000,5000,7.151665915
1,15000000,10000,7.151665915
2,15000000,25000,7.151665915
3,15000000,50000,7.151665915
4,15000000,75000,7.151665915
5,15000000,100000,7.151665915
