,Budget,Cost,POD,Days Open
0,225000,10000,0,0.0
1,225000,10000,1,0.0
2,225000,10000,2,0.0
3,225000,10000,3,0.0
4,225000,10000,4,28.35977095516569
5,225000,10000,5,0.0
6,225000,10000,6,0.0
7,225000,10000,7,0.0
8,225000,10000,8,17.303703703703704
9,225000,10000,9,0.0
10,225000,10000,10,0.0
11,250000,10000,0,6.073611111111109
12,250000,10000,1,0.0
13,250000,10000,2,0.0
14,250000,10000,3,0.0
15,250000,10000,4,23.996101364522417
16,250000,10000,5,0.0
17,250000,10000,6,0.0
18,250000,10000,7,0.0
19,250000,10000,8,22.22939814814815
20,250000,10000,9,0.0
21,250000,10000,10,1.642361111111111
22,275000,10000,0,14.269444444444444
23,275000,10000,1,0.0
24,275000,10000,2,0.0
25,275000,10000,3,0.0
26,275000,10000,4,18.53654970760234
27,275000,10000,5,0.0
28,275000,10000,6,0.0
29,275000,10000,7,0.0
30,275000,10000,8,24.52175925925926
31,275000,10000,9,0.0
32,275000,10000,10,21.556712962962962
33,300000,10000,0,22.093055555555562
34,300000,10000,1,0.0
35,300000,10000,2,0.0
36,300000,10000,3,0.0
37,300000,10000,4,15.54471247563353
38,300000,10000,5,2.9305555555555554
39,300000,10000,6,0.0
40,300000,10000,7,0.0
41,300000,10000,8,23.85925925925926
42,300000,10000,9,0.0
43,300000,10000,10,28.60416666666667
44,350000,10000,0,29.840277777777775
45,350000,10000,1,0.0
46,350000,10000,2,0.0
47,350000,10000,3,0.0
48,350000,10000,4,13.0465399610138
49,350000,10000,5,7.910052910052921
50,350000,10000,6,0.0
51,350000,10000,7,29.969135802469147
52,350000,10000,8,18.335416666666678
53,350000,10000,9,0.0
54,350000,10000,10,29.39699074074074
55,400000,10000,0,29.85
56,400000,10000,1,0.0
57,400000,10000,2,0.0
58,400000,10000,3,0.0
59,400000,10000,4,10.50950292397661
60,400000,10000,5,27.86574074074074
61,400000,10000,6,29.847222222222094
62,400000,10000,7,29.712962962962848
63,400000,10000,8,11.60763888888889
64,400000,10000,9,0.0
65,400000,10000,10,29.99768518518504
66,500000,10000,0,28.691666666666666
67,500000,10000,1,8.466931216931215
68,500000,10000,2,3.018518518518519
69,500000,10000,3,12.956679894179894
70,500000,10000,4,1.3915692007797271
71,500000,10000,5,27.347883597883598
72,500000,10000,6,29.699074074074073
73,500000,10000,7,30.0
74,500000,10000,8,9.978935185185184
75,500000,10000,9,5.746527777777778
76,500000,10000,10,29.90972222222208
77,600000,10000,0,28.677314814814814
78,600000,10000,1,9.704695767195766
79,600000,10000,2,0.0
80,600000,10000,3,13.62202380952381
81,600000,10000,4,0.1875
82,600000,10000,5,28.857142857142858
83,600000,10000,6,29.93209876543209
84,600000,10000,7,29.66358024691358
85,600000,10000,8,10.401157407407405
86,600000,10000,9,11.822337962962964
87,600000,10000,10,29.97106481481481
