,Budget,Cost,TotalTravel(mi)
0,750000,10000,9294938.490453374
1,1000000,10000,4671380.350097939
2,1250000,10000,3602311.808636428
3,1500000,10000,3084654.051062984
4,1750000,10000,3053138.6642266507
5,2000000,10000,3053207.224155117
6,2250000,10000,3053207.224155117
7,2500000,10000,3053207.224155117
8,5000000,10000,3053207.224155117
