,Budget,Cost,TotalTravel(mi)
0,750000,10000,19.60302301
1,1000000,10000,7.151665915
2,1250000,10000,7.151665915
3,1500000,10000,7.151665915
4,1750000,10000,7.151665915
5,2000000,10000,7.151665915
6,2250000,10000,7.151665915
7,2500000,10000,7.151665915
8,5000000,10000,7.151665915
