GEOID,Population,PopDensity
420034724002,738,0.385121172
420034781001,1268,0.474975746
420034781002,873,0.335929443
420034781003,1167,0.202548958
420035624001,1386,0.169867513
420034731001,1617,0.265173691
420034731003,954,0.42441876
420034731004,681,0.345609842
420034731005,969,0.55834697
420034732001,757,0.387236045
420034732002,1047,0.445357562
420034732003,1088,0.363612058
420034781004,677,0.164930069
420030709004,854,0.611428121
420034733001,1010,0.092589622
420034733002,1429,0.186040335
420034733003,1346,0.145881292
420034733004,1094,0.358579187
420034790001,855,0.116376723
420034801011,646,0.143067219
420034801012,804,0.118903426
420034801013,1563,0.403205003
420034801014,2418,0.310068374
420034801021,1169,0.194634158
420034626001,730,0.264735428
420034639002,568,0.149486666
420034621002,778,0.062585572
420034621003,1664,0.158044803
420034626004,753,0.287020061
420034706003,825,0.335432667
420034705022,1498,0.198234155
420035236002,471,0.0852836
420034890022,1130,0.142794862
420035631003,298,0.032168294
420034886001,850,0.086983128
420034722003,881,0.259868208
420035641001,440,0.030337986
420034705021,1477,0.133312875
420034658001,1270,0.216370931
420034267002,1504,0.050298211
420034268001,1364,0.085512738
420034270001,1396,0.239363663
420034270003,1592,0.423939818
420034550001,1505,0.123837634
420034560042,3127,0.100815812
420034571001,718,0.138244944
420034571002,766,0.181361871
420034572001,369,0.101393125
420034572002,867,0.267956484
420034272002,893,0.060942777
420034281001,454,0.073074824
420034281002,740,0.247758456
420034572003,1315,0.150426858
420034572004,933,0.278357897
420034580001,402,0.032353083
420034591011,1746,0.028047057
420034282001,535,0.022268322
420034282002,1537,0.076058949
420034292021,1315,0.111065315
420034293001,1810,0.09824841
420034508001,1383,0.190048495
420034508003,702,0.187890938
420034293003,1785,0.06330097
420034293004,815,0.041206194
420034294001,772,0.118710789
420034294002,1589,0.139924428
420034294003,1041,0.107681152
420034294004,651,0.080800809
420034295001,1495,0.108562179
420034295002,1882,0.163345085
420034296002,1101,0.13438137
420034297002,806,0.074953247
420034301001,759,0.262256791
420035626001,165,0.032749532
420035624002,360,0.07051164
420034301002,1356,0.239856511
420034302001,896,0.263750497
420034302002,1177,0.182393806
420034302003,1068,0.379071559
420034302004,531,0.219732018
420035629001,468,0.032317987
420034302005,814,0.323083823
420035619002,1288,0.197274608
420035632003,951,0.302542502
420030201006,642,0.293119901
420039818001,207,0.011355607
420035642001,449,0.019723043
420034639003,1075,0.624237849
420035625001,283,0.046938
420035641002,443,0.039311315
420034626003,639,0.378032692
420034513002,1452,0.092006638
420035640003,531,0.102639835
420034705011,1994,0.358244566
420034741022,1474,0.105417486
420034511051,1028,0.054653786
420035638005,547,0.049295489
420034742033,2479,0.106877634
420034060002,745,0.010535074
420034742021,2393,0.057259996
420034011001,1406,0.024129435
420034845002,906,0.25099734
420034900021,1040,0.183135348
420034890024,535,0.039522042
420030902003,794,1.110846846
420031011003,658,0.263648202
420031406003,825,0.446302988
420030103004,409,0.312158934
420035524001,817,0.387152416
420035524002,1232,0.267312962
420035604002,991,0.716947007
420034885003,538,0.04971272
420035638002,1878,0.040927471
420035623002,1106,0.09333672
420035632001,226,0.071376009
420039822001,4618,0.913240203
420035630001,869,0.034469341
420034890021,611,0.161547899
420035645003,524,0.110919894
420039805001,16,0.00099269
420034773003,1103,0.166147737
420034733005,558,0.266004357
420034734011,633,0.153754973
420034734012,525,0.299534438
420034734013,1000,0.297472967
420034734014,1416,0.234234652
420034734021,1186,0.251797186
420034801022,1077,0.232055055
420034801023,632,0.10062813
420034802003,784,0.120852255
420035619001,1179,0.275511706
420034734022,496,0.147249172
420034734023,1735,0.179852573
420034735001,824,0.136442365
420034735002,780,0.143098523
420032614003,511,0.229901606
420031920002,495,0.20092629
420031517006,1390,0.693695852
420031414002,443,0.255118201
420034736011,848,0.111420027
420034736012,1400,0.19243854
420034736021,697,0.147395623
420034803002,1653,0.165912549
420034736022,2266,0.190781531
420034736023,522,0.156422304
420034741011,2132,0.126066942
420034742031,1558,0.13777966
420034742032,725,0.075745149
420034751011,1141,0.186056068
420034843002,458,0.125139005
420034751012,951,0.163788738
420034751013,1167,0.132962663
420034751014,1423,0.133853068
420034752002,1076,0.081105263
420034845001,2281,0.238390109
420034845004,1832,0.218530999
420031920001,454,0.15978039
420034600012,1328,0.055077567
420034293002,1330,0.077796658
420035180012,1141,0.136076651
420035180011,1022,0.134774089
420035170001,723,0.093082418
420030201004,965,0.342760125
420034950001,1806,0.006092361
420034643001,1236,0.325903816
420034643004,685,0.291498045
420034644001,184,0.102339344
420034644002,789,0.261147593
420034752003,1190,0.134665503
420034753011,774,0.123868341
420034753012,605,0.148667278
420034753013,2491,0.150273158
420034846002,810,0.171365828
420034868001,706,0.073051914
420034868002,882,0.280372941
420034735003,2087,0.169198702
420034271001,1774,0.109855949
420034772002,605,0.131747715
420035231004,343,0.03195543
420035253002,1658,0.179449853
420031414001,771,0.277933988
420031018001,1182,0.295439435
420034644003,1413,0.272652545
420034644004,876,0.120434058
420034656001,1014,0.183706302
420034656002,1656,0.36147103
420034753031,1749,0.146010629
420034753032,1116,0.11254663
420034753033,1103,0.120486402
420034753041,1099,0.193355537
420034846003,720,0.138954828
420034850001,1148,0.149600522
420034867001,1673,0.087909016
420034802001,2203,0.110320666
420031920003,1071,0.23822764
420032412002,439,0.257251685
420032503001,1154,0.475982281
420032507001,601,0.107296712
420032509002,365,0.094881346
420035041005,921,0.06019124
420034600011,3219,0.075697414
420035128001,1340,0.063940938
420034961011,1471,0.038195411
420032107002,823,0.228486078
420034658002,1175,0.269324923
420034658003,723,0.07788506
420034753042,2180,0.131782013
420034753043,970,0.105953841
420034753044,1193,0.105211914
420034754011,1325,0.067430266
420034754012,1717,0.115055212
420034867002,689,0.116913815
420032901002,557,0.211562639
420032901003,641,0.244954735
420032902001,835,0.149384571
420032902002,991,0.326334646
