,Budget,Cost,TotalTravel(mi)
0,225000,10000,1719573.0775585729
1,250000,10000,1545811.8984620254
2,275000,10000,1417091.7459085267
3,300000,10000,1309225.9048544283
4,350000,10000,1111725.4839706263
5,400000,10000,944004.3487527316
6,500000,10000,861388.7559398302
7,600000,10000,861396.6443023885
