,Budget,Cost,Block,DistTravel(mi),DesignatedPOD
176,225000,10000,721,4.095785895,17
177,225000,10000,722,9.159005434,17
178,225000,10000,723,9.068984485,17
179,225000,10000,724,6.935007485,17
180,225000,10000,725,8.087758039,17
181,225000,10000,726,7.956665426,17
182,225000,10000,727,7.751442597,17
183,225000,10000,728,8.391082111,17
184,225000,10000,731,7.979323515,17
185,225000,10000,732,7.655182601,17
186,225000,10000,733,7.223767973,17
187,225000,10000,734,7.22626627,17
188,225000,10000,735,3.645299485,17
189,225000,10000,736,1.282780582,39
190,225000,10000,737,2.136323843,39
191,225000,10000,738,1.627903147,39
192,225000,10000,739,2.722714696,17
193,225000,10000,740,2.674960339,17
194,225000,10000,741,2.975377805,17
195,225000,10000,742,2.069877237,17
196,225000,10000,756,6.211908097,17
197,225000,10000,757,5.426614295,17
198,225000,10000,758,5.458939206,17
199,225000,10000,759,7.046624815,17
200,225000,10000,760,7.021815196,17
201,225000,10000,761,7.034233152,17
202,225000,10000,762,6.179440514,17
203,225000,10000,763,6.366940369,17
204,225000,10000,766,8.04497691,17
205,225000,10000,767,6.474443289,39
206,225000,10000,768,6.528783662,39
207,225000,10000,769,6.402492984,39
208,225000,10000,770,6.288937772,39
209,225000,10000,771,6.005166477,39
210,225000,10000,772,8.250261724,17
211,225000,10000,773,6.649003703,39
212,225000,10000,774,6.09708577,17
213,225000,10000,775,5.131137541,17
214,225000,10000,776,3.816268313,17
215,225000,10000,820,5.055379375,39
216,225000,10000,821,5.734311971,39
217,225000,10000,822,5.22446031,39
218,225000,10000,823,5.191493351,39
219,225000,10000,824,4.450697115,39
220,225000,10000,825,4.696658341,39
221,225000,10000,826,5.659220379,39
222,225000,10000,827,5.341174984,39
223,225000,10000,832,3.925466535,17
224,225000,10000,833,5.318877058,17
225,225000,10000,835,5.723185964,17
226,225000,10000,839,4.226501697,39
227,225000,10000,840,4.262761638,39
228,225000,10000,841,7.402678573,39
229,225000,10000,842,6.738090338,39
230,225000,10000,844,5.169081959,17
231,225000,10000,845,7.363022652,17
232,225000,10000,846,4.304925772,39
233,225000,10000,877,7.575516224,17
234,225000,10000,878,6.852940506,17
235,225000,10000,879,5.293938409,17
236,225000,10000,880,5.48151757,17
237,225000,10000,882,4.390032955,17
238,225000,10000,883,4.377129095,17
239,225000,10000,884,4.025266039,17
240,225000,10000,885,4.065335015,17
241,225000,10000,886,5.068267051,17
242,225000,10000,887,6.670711218,17
