,Budget,Cost,TotalTravel(mi)
0,225000,10000,9.445504405
1,250000,10000,8.182619419999998
2,275000,10000,7.319500281
3,300000,10000,6.881736886
4,350000,10000,6.238561488
5,400000,10000,5.735736221
6,500000,10000,5.735736221
7,600000,10000,5.735736221
