,Budget,Cost,POD,Days Open
0,750000,10000,0,0.0
1,750000,10000,1,0.0
2,750000,10000,2,0.0
3,750000,10000,3,0.0
4,750000,10000,4,0.0
5,750000,10000,5,0.0
6,750000,10000,6,0.0
7,750000,10000,7,-0.0
8,750000,10000,8,0.0
9,750000,10000,9,0.0
10,750000,10000,10,0.0
11,750000,10000,11,0.0
12,750000,10000,12,0.0
13,750000,10000,13,0.0
14,750000,10000,14,0.938034188034188
15,750000,10000,15,18.215873015873022
16,750000,10000,16,0.0
17,750000,10000,17,0.0
18,750000,10000,18,0.0
19,750000,10000,19,29.96875
20,750000,10000,20,0.0
21,750000,10000,21,8.320658773527633
22,750000,10000,22,0.0
23,750000,10000,23,29.98602843915343
24,750000,10000,24,-0.0
25,750000,10000,25,0.0
26,750000,10000,26,0.0
27,750000,10000,27,0.0
28,750000,10000,28,0.0
29,750000,10000,29,0.0
30,750000,10000,30,-0.0
31,750000,10000,31,0.0
32,750000,10000,32,-0.0
33,750000,10000,33,0.0
34,750000,10000,34,-0.0
35,750000,10000,35,-0.0
36,750000,10000,36,-0.0
37,750000,10000,37,0.0
38,750000,10000,38,-0.0
39,750000,10000,39,0.0
40,750000,10000,40,0.0
41,750000,10000,41,0.0
42,750000,10000,42,0.0
43,750000,10000,43,0.0
44,750000,10000,44,0.0
45,750000,10000,45,0.0
46,750000,10000,46,0.0
47,1000000,10000,0,1.6400462962962976
48,1000000,10000,1,0.0
49,1000000,10000,2,0.0
50,1000000,10000,3,3.5084876543209877
51,1000000,10000,4,0.0
52,1000000,10000,5,0.0
53,1000000,10000,6,0.0
54,1000000,10000,7,0.0
55,1000000,10000,8,0.0
56,1000000,10000,9,0.0
57,1000000,10000,10,0.0
58,1000000,10000,11,0.9517195767195767
59,1000000,10000,12,0.0
60,1000000,10000,13,4.966435185185185
61,1000000,10000,14,11.261158594491928
62,1000000,10000,15,4.62989417989418
63,1000000,10000,16,2.435074955908289
64,1000000,10000,17,3.185550682261209
65,1000000,10000,18,5.56423611111111
66,1000000,10000,19,8.637409979423868
67,1000000,10000,20,9.592592592592599
68,1000000,10000,21,23.56056466302368
69,1000000,10000,22,4.647025813692481
70,1000000,10000,23,7.711226851851849
71,1000000,10000,24,0.0
72,1000000,10000,25,0.0
73,1000000,10000,26,15.303118908382068
74,1000000,10000,27,0.0
75,1000000,10000,28,0.0
76,1000000,10000,29,0.0
77,1000000,10000,30,0.3466435185185185
78,1000000,10000,31,3.0547839506172845
79,1000000,10000,32,0.7123015873015873
80,1000000,10000,33,4.042695473251029
81,1000000,10000,34,0.0
82,1000000,10000,35,0.0
83,1000000,10000,36,0.0
84,1000000,10000,37,0.0
